,Teste,Sinal,TP,TL,Média Dias Vitória,Max Dias Vitoria,Média Dias Derrota,Max Dias Derrota,Aproveitamento,Trades,retorno/invest
105,EURUSD=X,Sinal 6,100.0,50,4.764705882352941,13,3.727272727272727,12,0.34,50,1.0000000000000064
135,EURUSD=X,Sinal 7,250.0,125,14.0,18,7.0,17,0.4,5,1.0000000000000004
138,EURUSD=X,Sinal 7,300.0,150,14.0,18,9.0,17,0.4,5,1.0000000000000004
132,EURUSD=X,Sinal 7,200.0,100,12.0,18,7.0,17,0.4,5,1.0000000000000004
141,EURUSD=X,Sinal 7,350.0,175,15.0,19,10.666666666666666,18,0.4,5,1.0000000000000004
144,EURUSD=X,Sinal 7,400.0,200,19.0,21,11.333333333333334,18,0.4,5,1.0000000000000004
126,EURUSD=X,Sinal 7,100.0,50,2.0,4,1.0,3,0.4,5,1.0000000000000004
78,EURUSD=X,Sinal 4,350.0,175,6.0,6,38.0,38,0.5,2,1.0
75,EURUSD=X,Sinal 4,300.0,150,4.0,4,35.0,35,0.5,2,1.0
81,EURUSD=X,Sinal 4,400.0,200,6.0,6,46.0,46,0.5,2,1.0
74,EURUSD=X,Sinal 4,375.0,125,6.0,6,33.5,42,0.33,3,0.9600000000000002
73,EURUSD=X,Sinal 4,312.5,125,4.0,4,33.5,42,0.33,3,0.4650000000000004
68,EURUSD=X,Sinal 4,225.0,75,3.0,3,24.333333333333332,41,0.25,4,0.0
71,EURUSD=X,Sinal 4,300.0,100,4.0,4,29.333333333333332,42,0.25,4,0.0
67,EURUSD=X,Sinal 4,187.5,75,0.0,0,24.333333333333332,41,0.25,4,-0.5
70,EURUSD=X,Sinal 4,250.0,100,3.0,3,29.333333333333332,42,0.25,4,-0.5
106,EURUSD=X,Sinal 6,125.0,50,6.285714285714286,14,4.166666666666667,18,0.28,50,-0.9999999999999953
128,EURUSD=X,Sinal 7,150.0,50,4.0,4,2.0,5,0.2,5,-0.9999999999999998
143,EURUSD=X,Sinal 7,525.0,175,25.0,25,21.5,54,0.2,5,-0.9999999999999998
140,EURUSD=X,Sinal 7,450.0,150,21.0,21,20.25,54,0.2,5,-0.9999999999999998
69,EURUSD=X,Sinal 4,200.0,100,3.0,3,29.333333333333332,42,0.25,4,-1.0
122,EURUSD=X,Sinal 6,525.0,175,39.125,55,21.32,54,0.24,33,-1.3200000000000012
127,EURUSD=X,Sinal 7,125.0,50,4.0,4,2.0,5,0.2,5,-1.5000000000000002
